baseline,estimate,upper,lower,NL,Model,dropped
0,0.07655641031871668,0.14962401022438254,0.0034888104130508246,9,TNL9,AZE
25,-0.20197809361852975,-0.06462635216226578,-0.33932983507479375,9,TNL9,AZE
30,-0.25768499440597903,-0.08948475739893044,-0.4258852314130276,9,TNL9,AZE
0,-0.09650273143922757,-8.466663594932922e-4,-0.19215879651896184,10,TNL10,AZE
25,-0.32897769312527186,-0.17641684790375065,-0.48153853834679305,10,TNL10,AZE
30,-0.3754726854624808,-0.19217324979538897,-0.5587721211295726,10,TNL10,AZE
0,-0.006268989941767669,0.054831671257267844,-0.06736965114080318,8,TNL8,BEL
25,-0.29387217728945514,-0.1715722221649928,-0.4161721324139175,8,TNL8,BEL
30,-0.35139281475899264,-0.19992353380285532,-0.50286209571513,8,TNL8,BEL
0,0.07276261187504747,0.1457790804664587,-2.5385671636375673e-4,9,TNL9,BEL
25,-0.2018662937444847,-0.06435844144975231,-0.3393741460392171,9,TNL9,BEL
30,-0.2567920748683912,-0.088429658205083,-0.4251544915316994,9,TNL9,BEL
0,-0.0998177490359424,-0.004175881295304079,-0.19545961677658072,10,TNL10,BEL
25,-0.32881254540696636,-0.17609919394407292,-0.4815258968698598,10,TNL10,BEL
30,-0.37461150468117116,-0.19116241082949448,-0.5580605985328478,10,TNL10,BEL
0,-0.005469824458202981,0.055655701654484094,-0.06659535057089006,8,TNL8,BES
25,-0.2917661455308896,-0.169609919874458,-0.41392237118732117,8,TNL8,BES
30,-0.34902540974542695,-0.19769070798933377,-0.5003601115015202,8,TNL8,BES
0,0.07327643383220071,0.14627576738906997,2.771002753314544e-4,9,TNL9,BES
25,-0.19980199177639343,-0.06250700282730759,-0.3370969807254793,9,TNL9,BES
30,-0.25441767689811223,-0.08627148499812579,-0.4225638687980987,9,TNL9,BES
0,-0.09806695833727894,-0.0024876566081088597,-0.19364626006644903,10,TNL10,BES
25,-0.3262114724254064,-0.17375286696767722,-0.47867007788313554,10,TNL10,BES
30,-0.3718403752430319,-0.18864739911911663,-0.5550333513669471,10,TNL10,BES
0,0.0022937677217549947,0.06341079795685033,-0.058823262513340344,8,TNL8,BGR
25,-0.28124210915166914,-0.1589291306427209,-0.4035550876606174,8,TNL8,BGR
30,-0.337949284526354,-0.18650065207156238,-0.48939791698114554,8,TNL8,BGR
0,0.08105823326488763,0.1542192894320688,0.007897177097706473,9,TNL9,BGR
25,-0.19119216496834504,-0.05368877341160819,-0.32869555652508187,9,TNL9,BGR
30,-0.2456422446149915,-0.07729957254755035,-0.41398491668243265,9,TNL9,BGR
0,-0.09382892602869342,0.0019091505122535019,-0.18956700256964032,10,TNL10,BGR
25,-0.3264576768917514,-0.17381302747536917,-0.47910232630813365,10,TNL10,BGR
30,-0.372983427064363,-0.18966026864228874,-0.5563065854864373,10,TNL10,BGR
0,-0.005443528480322193,0.05566557861316572,-0.06655263557381011,8,TNL8,BHS
